dam_lev_similarity,dam_lev_res_similarity,pref_len,suf_len
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.45454544,0.45454544,1,11
0.45454544,0.45454544,1,11
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
0.8333333,0.8333333,1,6
