dam_lev_similarity,dam_lev_res_similarity,pref_len,suf_len
0.72727275,0.72727275,3,11
0.72727275,0.72727275,3,11
0.72727275,0.72727275,3,11
0.72727275,0.72727275,3,11
0.8125,0.8125,3,16
0.7692308,0.7692308,3,13
0.72727275,0.72727275,3,11
0.72727275,0.72727275,3,11
0.72727275,0.72727275,3,11
0.64285713,0.64285713,3,14
0.72727275,0.72727275,3,11
0.6666666,0.6666666,3,12
0.7692308,0.7692308,3,13
0.75,0.75,3,12
0.72727275,0.72727275,3,11
0.6666666,0.6666666,3,12
0.6363636,0.72727275,3,11
0.72727275,0.72727275,3,11
0.72727275,0.72727275,3,11
0.6153846,0.6153846,3,13
0.6153846,0.6153846,3,13
0.72727275,0.72727275,3,11
0.72727275,0.72727275,3,11
0.7692308,0.7692308,3,13
0.72727275,0.72727275,3,11
0.6666666,0.6666666,3,12
0.7692308,0.7692308,3,13
0.72727275,0.72727275,3,11
0.7692308,0.7692308,3,13
0.72727275,0.72727275,3,11
0.7692308,0.7692308,3,13
0.72727275,0.72727275,3,11
0.7692308,0.7692308,3,13
0.72727275,0.72727275,3,11
0.7692308,0.7692308,3,13
0.72727275,0.72727275,3,11
0.7692308,0.7692308,3,13
0.72727275,0.72727275,3,11
0.39999998,0.39999998,3,15
0.7692308,0.7692308,3,13
0.7692308,0.7692308,3,13
0.6666666,0.6666666,3,12
0.72727275,0.72727275,3,11
0.6923077,0.7692308,3,13
0.72727275,0.72727275,3,11
0.72727275,0.72727275,3,11
0.72727275,0.72727275,3,11
0.6153846,0.6153846,3,13
0.72727275,0.72727275,3,11
0.7692308,0.7692308,3,13
0.8125,0.8125,3,16
0.7692308,0.7692308,3,13
0.6153846,0.6153846,3,13
0.72727275,0.72727275,3,11
0.6153846,0.6153846,3,13
0.64285713,0.64285713,3,14
0.7692308,0.7692308,3,13
0.72727275,0.72727275,3,11
0.5333333,0.5333333,3,15
0.71428573,0.71428573,3,14
0.72727275,0.72727275,3,11
0.72727275,0.72727275,3,11
0.72727275,0.72727275,3,11
0.7058823,0.7058823,3,17
0.71428573,0.71428573,3,14
0.6666666,0.6666666,3,12
0.7692308,0.7692308,3,13
0.72727275,0.72727275,3,11
0.7692308,0.7692308,3,13
0.72727275,0.72727275,3,11
0.6363636,0.72727275,3,11
0.7692308,0.7692308,3,13
0.6153846,0.6923077,3,13
0.6666666,0.6666666,3,12
0.5333333,0.5333333,3,15
0.72727275,0.72727275,3,11
0.5454545,0.6363636,3,11
0.7692308,0.7692308,3,13
0.7692308,0.7692308,3,13
0.7692308,0.7692308,3,13
0.72727275,0.72727275,3,11
0.72727275,0.72727275,3,11
0.72727275,0.72727275,3,11
