dam_lev_similarity,dam_lev_res_similarity,pref_len,suf_len
0.04444444,0.055555582,3,13
0.16666669,0.3333333,3,12
0.43478262,0.43478262,3,23
0.5263158,0.5263158,3,19
0.625,0.625,3,16
0.5263158,0.5263158,3,19
0.19999999,0.19999999,3,10
0.4166667,0.4166667,3,12
0.45454544,0.45454544,3,22
0.32258064,0.32258064,3,31
0.625,0.625,3,16
0.5625,0.5625,3,16
0.3076923,0.46153843,3,13
0.19999999,0.19999999,3,10
0.36363637,0.36363637,3,11
0.19999999,0.19999999,3,10
0.19999999,0.19999999,3,10
0.5263158,0.5263158,3,19
0.3333333,0.3333333,3,12
0.19999999,0.19999999,3,10
0.5263158,0.5263158,3,19
0.28571427,0.4285714,3,14
0.25,0.25,4,12
0.090909064,0.27272725,4,11
0.40909094,0.40909094,4,22
0.5,0.5,4,18
0.6,0.6,4,15
0.5,0.5,4,18
0.111111104,0.111111104,4,9
0.36363637,0.36363637,4,11
0.4285714,0.4285714,4,21
0.3,0.3,4,30
0.6,0.6,4,15
0.5333333,0.5333333,4,15
0.25,0.4166667,4,12
0.111111104,0.111111104,4,9
0.3,0.3,4,10
0.111111104,0.111111104,4,9
0.111111104,0.111111104,4,9
0.5,0.5,4,18
0.36363637,0.36363637,4,11
0.111111104,0.111111104,4,9
0.5,0.5,4,18
0.23076922,0.38461536,4,13
0.18181819,0.18181819,5,11
0.57142854,0.71428573,5,10
0.6666666,0.6666666,5,21
0.8235294,0.8235294,5,17
0.71428573,0.71428573,5,14
0.8235294,0.8235294,5,17
0.57142854,0.57142854,5,8
0.39999998,0.39999998,5,10
0.55,0.55,5,20
0.4137931,0.48275864,5,29
1.0,1.0,5,14
0.78571427,0.78571427,5,14
0.35714287,0.35714287,5,11
0.57142854,0.57142854,5,8
0.5,0.57142854,5,9
0.57142854,0.57142854,5,8
0.57142854,0.57142854,5,8
0.58823526,0.64705884,5,17
0.39999998,0.39999998,5,10
0.5,0.5,5,8
0.8235294,0.8235294,5,17
0.28571427,0.28571427,5,12
0.53846157,0.53846157,6,10
0.53846157,0.6923077,6,9
0.65,0.65,6,20
0.8125,0.8125,6,16
0.6923077,0.6923077,6,13
0.8125,0.8125,6,16
0.53846157,0.53846157,6,7
0.3333333,0.3333333,6,9
0.31578946,0.36842108,6,19
0.5,0.57142854,6,28
1.0,1.0,6,13
0.7692308,0.7692308,6,13
0.625,0.625,6,10
0.53846157,0.53846157,6,7
0.46153843,0.53846157,6,8
0.53846157,0.53846157,6,7
0.53846157,0.53846157,6,7
0.5625,0.625,6,16
0.3333333,0.3333333,6,9
0.46153843,0.46153843,6,7
0.8125,0.8125,6,16
0.5625,0.5625,6,11
0.5,0.5,7,9
0.5,0.6666666,7,8
0.6315789,0.6315789,7,19
0.8,0.8,7,15
0.6666666,0.6666666,7,12
0.8,0.8,7,15
0.5,0.5,7,6
0.46153843,0.46153843,7,8
0.7777778,0.7777778,7,18
0.4814815,0.5555556,7,27
1.0,1.0,7,12
0.75,0.75,7,12
0.6,0.6,7,9
0.5,0.5,7,6
0.4166667,0.5,7,7
0.5,0.5,7,6
0.5,0.5,7,6
0.5333333,0.5333333,7,15
0.53846157,0.6153846,7,8
0.4166667,0.4166667,7,6
0.8,0.8,7,15
0.5333333,0.5333333,7,10
