dam_lev_similarity,dam_lev_res_similarity,pref_len,suf_len
0.5833334,0.5833334,2,12
0.5833334,0.5833334,2,12
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.5833334,0.5833334,2,12
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.5833334,0.5833334,2,12
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.53846157,0.53846157,2,13
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.4375,0.4375,2,16
0.6,0.6,2,10
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.5833334,0.5833334,2,12
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.5,0.5,2,8
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.5833334,0.5833334,2,12
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.7777778,0.7777778,2,9
0.5833334,0.5833334,2,12
0.7777778,0.7777778,2,9
