dam_lev_similarity,dam_lev_res_similarity,pref_len,suf_len
0.8,0.8,1,5
1.0,1.0,1,4
0.6666666,0.6666666,1,6
0.8,0.8,1,5
1.0,1.0,1,4
1.0,1.0,1,4
0.6666666,0.6666666,1,6
1.0,1.0,1,4
1.0,1.0,1,4
1.0,1.0,1,4
0.8,0.8,1,5
1.0,1.0,1,4
0.8,0.8,1,5
1.0,1.0,1,4
0.8,0.8,1,5
0.75,0.75,1,4
0.75,0.75,1,4
0.8,0.8,1,5
1.0,1.0,1,4
0.75,0.75,1,3
0.5,0.5,1,8
0.8,0.8,1,5
1.0,1.0,1,4
1.0,1.0,1,4
0.8,0.8,1,5
1.0,1.0,1,4
1.0,1.0,1,4
1.0,1.0,1,4
0.6666666,0.6666666,1,6
1.0,1.0,1,4
1.0,1.0,1,4
0.8,0.8,1,5
1.0,1.0,1,4
1.0,1.0,1,4
0.8,0.8,1,5
1.0,1.0,1,4
1.0,1.0,1,4
0.6666666,0.6666666,1,6
1.0,1.0,1,4
0.8,0.8,1,5
0.8,0.8,1,5
1.0,1.0,1,3
0.8,0.8,1,5
0.6666666,0.6666666,1,6
1.0,1.0,1,4
0.8,0.8,1,5
1.0,1.0,1,4
1.0,1.0,1,4
0.75,0.75,1,3
1.0,1.0,1,4
0.6666666,0.6666666,1,6
1.0,1.0,1,4
1.0,1.0,1,4
0.6666666,0.6666666,1,6
0.6666666,0.6666666,1,6
1.0,1.0,1,4
0.8,0.8,1,5
0.8,0.8,1,5
1.0,1.0,1,4
1.0,1.0,1,4
0.8,0.8,1,5
0.8,0.8,1,5
1.0,1.0,1,4
1.0,1.0,1,4
0.8,0.8,1,5
0.6666666,0.6666666,1,6
0.8,0.8,1,5
0.8,0.8,1,5
0.57142854,0.57142854,1,7
1.0,1.0,1,4
0.6666666,0.6666666,1,6
1.0,1.0,1,4
0.6666666,0.6666666,1,6
1.0,1.0,1,4
0.8,0.8,1,5
1.0,1.0,1,4
1.0,1.0,1,4
0.6666666,0.6666666,1,6
0.8,0.8,1,5
0.8,0.8,1,5
0.8,0.8,1,5
0.8,0.8,1,5
1.0,1.0,1,4
0.8,0.8,1,5
0.8,0.8,1,5
1.0,1.0,1,4
0.8,0.8,1,5
0.8,0.8,1,5
0.8,0.8,1,5
0.57142854,0.57142854,1,7
0.8,0.8,1,5
0.8,0.8,1,5
0.8,0.8,1,5
0.8,0.8,1,5
0.6666666,0.6666666,1,6
0.8,0.8,1,5
0.8,0.8,1,5
0.8,0.8,1,5
0.8,0.8,1,5
0.8,0.8,1,5
0.8,0.8,1,5
0.8,0.8,1,5
0.8,0.8,1,5
1.0,1.0,1,4
1.0,1.0,1,4
0.8,0.8,1,5
0.5,0.5,1,6
0.8,0.8,1,5
0.8,0.8,1,5
1.0,1.0,1,4
0.8,0.8,1,5
0.6666666,0.6666666,1,6
1.0,1.0,1,4
0.8,0.8,1,5
1.0,1.0,1,4
0.6,0.6,1,5
0.8,0.8,1,5
0.8,0.8,1,5
0.75,0.75,1,4
1.0,1.0,1,4
0.8,0.8,1,5
0.57142854,0.57142854,1,7
1.0,1.0,1,4
0.375,0.375,1,8
0.8,0.8,1,5
1.0,1.0,1,4
0.75,1.0,1,4
0.8,0.8,1,5
0.8,0.8,1,5
0.6666666,0.6666666,1,6
0.8,0.8,1,5
0.8,0.8,1,5
0.8,0.8,1,5
0.6666666,0.6666666,1,6
0.75,0.75,1,4
0.8,0.8,1,5
1.0,1.0,1,4
0.6666666,0.6666666,1,6
1.0,1.0,1,4
1.0,1.0,1,4
0.8,0.8,1,5
0.75,0.75,1,4
1.0,1.0,1,4
0.75,0.75,1,4
1.0,1.0,1,4
1.0,1.0,1,4
1.0,1.0,1,4
1.0,1.0,1,4
0.8,0.8,1,5
0.8,0.8,1,5
0.75,0.75,1,3
0.6,0.8,1,5
1.0,1.0,1,4
1.0,1.0,1,4
0.8,0.8,1,5
0.8,0.8,1,5
0.57142854,0.57142854,1,7
1.0,1.0,1,4
0.75,0.75,1,3
0.57142854,0.57142854,1,7
0.8,0.8,1,5
0.57142854,0.57142854,1,7
1.0,1.0,1,4
0.8,0.8,1,5
1.0,1.0,1,4
0.75,0.75,1,3
1.0,1.0,1,3
1.0,1.0,1,4
1.0,1.0,1,4
1.0,1.0,1,4
1.0,1.0,1,4
0.8,0.8,1,5
0.75,0.75,1,3
1.0,1.0,1,4
0.75,0.75,1,4
0.75,0.75,1,3
1.0,1.0,1,4
0.8,0.8,1,5
1.0,1.0,1,4
0.6666666,0.6666666,1,6
0.5,0.5,1,8
1.0,1.0,1,4
1.0,1.0,1,4
1.0,1.0,1,4
0.8,0.8,1,5
0.6666666,0.6666666,1,6
1.0,1.0,1,4
1.0,1.0,1,4
0.8,0.8,1,5
0.6666666,0.6666666,1,6
0.8,0.8,1,5
1.0,1.0,1,3
0.8,0.8,1,5
1.0,1.0,1,4
0.8,0.8,1,5
0.8,0.8,1,5
0.8,0.8,1,5
1.0,1.0,1,4
0.8,0.8,1,5
1.0,1.0,1,4
0.8,0.8,1,5
0.6666666,0.6666666,1,6
1.0,1.0,1,4
0.8,0.8,1,5
1.0,1.0,1,4
1.0,1.0,1,4
0.8,0.8,1,5
0.8,0.8,1,5
1.0,1.0,1,4
1.0,1.0,1,4
0.8,0.8,1,5
0.8,0.8,1,5
1.0,1.0,1,4
0.8,0.8,1,5
1.0,1.0,1,4
0.8,0.8,1,5
1.0,1.0,1,4
1.0,1.0,1,4
0.8,0.8,1,5
0.8,0.8,1,5
0.6666666,0.6666666,1,6
0.8,0.8,1,5
1.0,1.0,1,4
0.57142854,0.57142854,1,7
1.0,1.0,1,4
0.8,0.8,1,5
1.0,1.0,1,4
0.57142854,0.57142854,1,7
1.0,1.0,1,4
0.75,0.75,1,3
0.8,0.8,1,5
0.8,0.8,1,5
1.0,1.0,1,3
0.8,0.8,1,5
0.75,0.75,1,4
0.75,0.75,1,3
0.57142854,0.57142854,1,7
0.75,1.0,1,4
0.8,0.8,1,5
1.0,1.0,1,4
0.8,0.8,1,5
0.8,0.8,1,5
1.0,1.0,1,4
1.0,1.0,1,4
1.0,1.0,1,4
0.6666666,0.6666666,1,6
1.0,1.0,1,4
1.0,1.0,1,4
1.0,1.0,1,4
1.0,1.0,1,4
0.75,0.75,1,4
0.8,0.8,1,5
0.8,0.8,1,5
1.0,1.0,1,4
0.6666666,0.6666666,1,6
1.0,1.0,1,4
1.0,1.0,1,4
0.75,0.75,1,4
1.0,1.0,1,4
1.0,1.0,1,4
1.0,1.0,1,4
1.0,1.0,1,4
1.0,1.0,1,4
1.0,1.0,1,4
0.8,0.8,1,5
0.8,0.8,1,5
0.8,0.8,1,5
1.0,1.0,1,4
0.8,0.8,1,5
0.6666666,0.6666666,1,6
0.8,0.8,1,5
0.8,0.8,1,5
0.6666666,0.6666666,1,6
0.8,0.8,1,5
0.6666666,0.6666666,1,6
0.75,0.75,1,4
1.0,1.0,1,4
1.0,1.0,1,4
0.8,0.8,1,5
0.8,0.8,1,5
0.8,0.8,1,5
0.8,0.8,1,5
0.8,0.8,1,5
0.8,0.8,1,5
0.6,0.6,1,5
1.0,1.0,1,4
0.8,0.8,1,5
1.0,1.0,1,4
0.8,0.8,1,5
0.6666666,0.6666666,1,6
1.0,1.0,1,4
0.8,0.8,1,5
0.8,0.8,1,5
0.6666666,0.6666666,1,6
0.8,0.8,1,5
0.8,0.8,1,5
0.75,0.75,1,3
0.8,0.8,1,5
0.75,0.75,1,3
0.8,0.8,1,5
0.8,0.8,1,5
0.6666666,0.6666666,1,6
1.0,1.0,1,4
0.57142854,0.57142854,1,7
1.0,1.0,1,4
0.8,0.8,1,5
1.0,1.0,1,4
0.8,0.8,1,5
1.0,1.0,1,4
0.8,0.8,1,5
0.8,0.8,1,5
0.57142854,0.57142854,1,7
1.0,1.0,1,4
0.6666666,0.6666666,1,6
1.0,1.0,1,4
0.8,0.8,1,5
0.75,0.75,1,4
0.8,0.8,1,5
0.6666666,0.6666666,1,6
0.6666666,0.6666666,1,6
1.0,1.0,1,4
1.0,1.0,1,4
0.8,0.8,1,5
1.0,1.0,1,4
0.375,0.375,1,8
1.0,1.0,1,4
0.6666666,0.6666666,1,6
0.8,0.8,1,5
1.0,1.0,1,4
0.8,0.8,1,5
1.0,1.0,1,4
1.0,1.0,1,4
0.6666666,0.6666666,1,6
1.0,1.0,1,4
1.0,1.0,1,3
0.8,0.8,1,5
1.0,1.0,1,4
0.8,0.8,1,5
0.8,0.8,1,5
1.0,1.0,1,4
0.6666666,0.6666666,1,6
0.8,0.8,1,5
1.0,1.0,1,4
0.8,0.8,1,5
1.0,1.0,1,4
0.8,0.8,1,5
1.0,1.0,1,4
1.0,1.0,1,4
0.8,0.8,1,5
1.0,1.0,1,4
0.8,0.8,1,5
0.57142854,0.57142854,1,7
0.8,0.8,1,5
1.0,1.0,1,4
1.0,1.0,1,4
0.8,0.8,1,5
