Part_Desc_,Rework,Work_Order_Qty,Case ID,label,Activity,Resource,Report_Type,Resource.1,Qty_Completed,Qty_for_MRB,activity_duration,Complete Timestamp,timesincemidnight,month,weekday,hour,timesincelastevent,timesincecasestart,event_nr,open_cases
Cable Head,missing,10,Case1,deviant,Turning & Milling - Machine 4,ID4932,S,Machine 4 - Turning & Milling,1,0,379,2012-01-30 05:43:00,343,1,0,5,0,0,1,30
Cable Head,missing,10,Case1,deviant,Turning & Milling - Machine 4,ID4932,D,Machine 4 - Turning & Milling,1,0,58,2012-01-30 06:42:00,402,1,0,6,59,59,2,30
Cable Head,missing,10,Case1,deviant,Turning & Milling - Machine 4,ID4167,S,Machine 4 - Turning & Milling,0,0,22,2012-01-30 07:21:00,441,1,0,7,39,98,3,30
Cable Head,missing,10,Case1,deviant,Turning & Milling - Machine 4,ID4167,D,Machine 4 - Turning & Milling,8,0,217,2012-01-30 10:58:00,658,1,0,10,217,315,4,28
Spur Gear,missing,251,Case10,deviant,Turning & Milling - Machine 9,ID3846,S,Machine 9 - Turning & Milling,1,0,244,2012-01-17 11:05:00,665,1,1,11,0,0,1,32
Spur Gear,missing,251,Case10,deviant,Turning Q.C.,ID4618,D,Quality Check 1,0,0,15,2012-01-17 11:15:00,675,1,1,11,10,10,2,32
Spur Gear,missing,251,Case10,deviant,Turning & Milling - Machine 9,ID4132,S,Machine 9 - Turning & Milling,0,0,37,2012-01-17 20:01:00,1201,1,1,20,526,536,3,35
Spur Gear,missing,251,Case10,deviant,Turning & Milling - Machine 9,ID4132,D,Machine 9 - Turning & Milling,17,0,222,2012-01-17 23:43:00,1423,1,1,23,222,758,4,36
Spur Gear,missing,251,Case10,deviant,Turning & Milling - Machine 9,ID4794,D,Machine 9 - Turning & Milling,37,0,403,2012-01-18 06:32:00,392,1,2,6,409,1167,5,36
Spur Gear,missing,251,Case10,deviant,Turning & Milling - Machine 9,ID3846,D,Machine 9 - Turning & Milling,4,0,25,2012-01-18 07:24:00,444,1,2,7,52,1219,6,36
Spur Gear,missing,251,Case10,deviant,Turning & Milling - Machine 9,ID4132,S,Machine 9 - Turning & Milling,1,0,82,2012-01-18 17:55:00,1075,1,2,17,631,1850,7,37
Spur Gear,missing,251,Case10,deviant,Turning & Milling - Machine 9,ID4132,D,Machine 9 - Turning & Milling,3,0,127,2012-01-18 20:04:00,1204,1,2,20,129,1979,8,37
Spur Gear,missing,251,Case10,deviant,Turning & Milling - Machine 9,ID4794,D,Machine 9 - Turning & Milling,40,0,619,2012-01-19 06:29:00,389,1,3,6,625,2604,9,36
Spur Gear,missing,251,Case10,deviant,Turning & Milling - Machine 9,ID4132,S,Machine 9 - Turning & Milling,1,0,117,2012-01-19 18:09:00,1089,1,3,18,700,3304,10,35
Spur Gear,missing,251,Case10,deviant,Turning & Milling - Machine 9,ID4132,D,Machine 9 - Turning & Milling,8,0,118,2012-01-19 20:08:00,1208,1,3,20,119,3423,11,35
Spur Gear,missing,251,Case10,deviant,Turning & Milling - Machine 9,ID4794,D,Machine 9 - Turning & Milling,40,0,541,2012-01-20 05:10:00,310,1,4,5,542,3965,12,35
Spur Gear,missing,251,Case10,deviant,Turning & Milling - Machine 9,ID4641,D,Machine 9 - Turning & Milling,17,0,232,2012-01-22 06:34:00,394,1,6,6,2964,6929,13,33
Spur Gear,missing,251,Case10,deviant,Turning & Milling - Machine 9,ID3846,D,Machine 9 - Turning & Milling,3,0,13,2012-01-22 07:13:00,433,1,6,7,39,6968,14,33
Spur Gear,missing,251,Case10,deviant,Turning & Milling - Machine 9,ID3846,D,Machine 9 - Turning & Milling,79,0,525,2012-01-22 17:47:00,1067,1,6,17,634,7602,15,34
Spur Gear,missing,251,Case10,deviant,Turning Q.C.,ID4618,D,Quality Check 1,251,0,152,2012-01-23 10:26:00,626,1,0,10,999,8601,16,33
Spur Gear,missing,251,Case10,deviant,Laser Marking - Machine 7,ID4794,D,Machine 7- Laser Marking,40,0,86,2012-01-25 10:57:00,657,1,2,10,2911,11512,17,32
Spur Gear,missing,251,Case10,deviant,Laser Marking - Machine 7,ID4882,D,Machine 7- Laser Marking,160,0,114,2012-01-25 12:54:00,774,1,2,12,117,11629,18,33
Spur Gear,missing,251,Case10,deviant,Laser Marking - Machine 7,ID4882,D,Machine 7- Laser Marking,51,0,47,2012-01-25 14:09:00,849,1,2,14,75,11704,19,32
Spur Gear,missing,251,Case10,deviant,Flat Grinding - Machine 11,ID0998,D,Machine 11 - Grinding,100,0,150,2012-01-27 13:00:00,780,1,4,13,2811,14515,20,32
Spur Gear,missing,251,Case10,deviant,Flat Grinding - Machine 11,ID0998,D,Machine 11 - Grinding,100,0,417,2012-01-29 15:06:00,906,1,6,15,3006,17521,21,30
Spur Gear,missing,251,Case10,deviant,Flat Grinding - Machine 11,ID0998,D,Machine 11 - Grinding,51,0,100,2012-01-30 16:59:00,1019,1,0,16,1553,19074,22,31
Ballnut,missing,18,Case100,regular,Turning & Milling - Machine 8,ID4219,D,Machine 8 - Turning & Milling,7,0,48,2012-02-20 17:57:00,1077,2,0,17,0,0,1,28
Ballnut,missing,18,Case100,regular,Turning & Milling - Machine 8,ID4529,D,Machine 8 - Turning & Milling,11,0,240,2012-02-21 02:57:00,177,2,1,2,540,540,2,26
Ballnut,missing,18,Case100,regular,Turning & Milling - Machine 8,ID4219,S,Machine 8 - Turning & Milling,1,0,258,2012-02-21 11:03:00,663,2,1,11,486,1026,3,25
Ballnut,missing,18,Case100,regular,Turning & Milling - Machine 8,ID4219,D,Machine 8 - Turning & Milling,17,0,64,2012-02-21 12:08:00,728,2,1,12,65,1091,4,25
Ballnut,missing,18,Case100,regular,Turning & Milling Q.C.,ID4618,D,Quality Check 1,18,0,22,2012-02-22 15:10:00,910,2,2,15,1622,2713,5,28
Ballnut,missing,18,Case100,regular,Laser Marking - Machine 7,ID0998,D,Machine 7- Laser Marking,18,0,1,2012-03-11 11:06:00,666,3,6,11,25676,28389,6,16
Ballnut,missing,18,Case100,regular,Flat Grinding - Machine 11,ID0998,D,Machine 11 - Grinding,18,0,22,2012-03-11 12:45:00,765,3,6,12,99,28488,7,16
Ballnut,missing,18,Case100,regular,Lapping - Machine 1,ID4882,D,Machine 1 - Lapping,18,0,32,2012-03-11 13:18:00,798,3,6,13,33,28521,8,16
Ballnut,missing,18,Case100,regular,Round Grinding - Machine 3,ID4445,S,Machine 3 - Round Grinding,0,0,7,2012-03-13 10:41:00,641,3,1,10,2723,31244,9,19
Ballnut,missing,18,Case100,regular,Round Grinding - Machine 3,ID4445,D,Machine 3 - Round Grinding,18,0,271,2012-03-13 15:12:00,912,3,1,15,271,31515,10,18
Ballnut,missing,18,Case100,regular,other,ID4872,D,Machine 12 - Grinding,0,0,70,2012-03-16 12:40:00,760,3,4,12,4168,35683,11,21
Ballnut,missing,18,Case100,regular,Final Inspection Q.C.,ID4618,D,Quality Check 1,0,0,165,2012-03-19 14:06:00,846,3,0,14,4406,40089,12,20
Ballnut,missing,18,Case100,regular,Packing,ID4820,D,Packing,18,0,60,2012-03-21 01:00:00,60,3,2,1,2094,42183,13,19
Ballnut,missing,18,Case100,regular,Final Inspection Q.C.,ID4618,D,Quality Check 1,18,0,1,2012-03-21 07:03:00,423,3,2,7,363,42546,14,20
Housing,missing,27,Case101,regular,other,ID4219,S,Machine 8 - Turning & Milling,0,0,76,2012-03-13 20:03:00,1203,3,1,20,0,0,1,20
Housing,missing,27,Case101,regular,Turning & Milling - Machine 8,ID4219,S,Machine 8 - Turning & Milling,0,0,145,2012-03-13 23:03:00,1383,3,1,23,180,180,2,20
Housing,missing,27,Case101,regular,Turning & Milling - Machine 8,ID4219,B,Machine 8 - Turning & Milling,0,0,45,2012-03-13 23:49:00,1429,3,1,23,46,226,3,19
Housing,missing,27,Case101,regular,Turning & Milling - Machine 8,ID4219,D,Machine 8 - Turning & Milling,7,0,76,2012-03-14 01:06:00,66,3,2,1,77,303,4,19
Housing,missing,27,Case101,regular,Turning & Milling - Machine 8,ID4794,D,Machine 8 - Turning & Milling,17,0,322,2012-03-14 06:28:00,388,3,2,6,322,625,5,20
Housing,missing,27,Case101,regular,Turning & Milling - Machine 8,ID0997,D,Machine 8 - Turning & Milling,3,0,46,2012-03-14 07:48:00,468,3,2,7,80,705,6,20
Housing,missing,27,Case101,regular,Turning & Milling - Machine 8,ID0997,S,Machine 8 - Turning & Milling,0,0,201,2012-03-14 11:10:00,670,3,2,11,202,907,7,20
Housing,missing,27,Case101,regular,Turning & Milling - Machine 8,ID0997,D,Machine 8 - Turning & Milling,27,0,139,2012-03-14 13:30:00,810,3,2,13,140,1047,8,20
Housing,missing,27,Case101,regular,Turning & Milling Q.C.,ID4618,D,Quality Check 1,27,0,75,2012-03-14 14:48:00,888,3,2,14,78,1125,9,20
Housing,missing,27,Case101,regular,Flat Grinding - Machine 11,ID0998,D,Machine 11 - Grinding,27,0,60,2012-03-15 10:55:00,655,3,3,10,1207,2332,10,22
Housing,missing,27,Case101,regular,Lapping - Machine 1,ID0998,D,Machine 1 - Lapping,21,0,100,2012-03-23 12:40:00,760,3,4,12,11625,13957,11,16
Housing,missing,27,Case101,regular,Round Grinding - Machine 12,ID4528,S,Machine 12 - Grinding,0,0,90,2012-03-24 23:45:00,1425,3,5,23,2105,16062,12,17
Housing,missing,27,Case101,regular,Round Grinding - Machine 12,ID4528,D,Machine 12 - Grinding,17,0,420,2012-03-25 06:45:00,405,3,6,6,420,16482,13,19
Housing,missing,27,Case101,regular,Lapping - Machine 1,ID0998,D,Machine 1 - Lapping,6,0,60,2012-03-25 11:00:00,660,3,6,11,255,16737,14,19
Housing,missing,27,Case101,regular,Laser Marking - Machine 7,ID0998,D,Machine 7- Laser Marking,17,0,14,2012-03-25 11:29:00,689,3,6,11,29,16766,15,19
