dam_lev_similarity,dam_lev_res_similarity,pref_len,suf_len
0.040650427,0.0487805,1,7
0.040650427,0.040650427,1,7
0.032520354,0.040650427,1,8
1.0,1.0,1,4
1.0,1.0,1,4
1.0,1.0,1,4
1.0,1.0,1,4
1.0,1.0,1,4
1.0,1.0,1,4
1.0,1.0,1,4
1.0,1.0,1,4
1.0,1.0,1,4
1.0,1.0,1,4
1.0,1.0,1,4
1.0,1.0,1,4
0.032520354,0.032520354,1,7
0.032520354,0.040650427,1,7
0.6666666,0.5,1,6
0.016260147,0.02439022,1,4
0.02439022,0.02439022,1,5
0.75,0.875,1,7
1.0,1.0,1,4
0.8888889,0.8888889,1,9
1.0,1.0,1,4
0.6666666,0.8333333,1,6
0.032520354,0.040650427,2,6
0.02439022,0.02439022,2,6
0.02439022,0.02439022,2,7
0.75,0.6666666,2,3
0.75,0.6666666,2,3
0.75,0.6666666,2,3
0.75,0.6666666,2,3
0.75,0.6666666,2,3
0.75,0.6666666,2,3
0.75,0.6666666,2,3
0.75,0.6666666,2,3
0.75,0.6666666,2,3
0.75,0.6666666,2,3
0.75,0.6666666,2,3
0.75,0.6666666,2,3
0.032520354,0.032520354,2,6
0.02439022,0.02439022,2,6
0.6,0.6,2,5
0.008130074,0.008130074,2,3
0.016260147,0.02439022,2,4
0.3333333,0.3333333,2,6
0.75,0.6666666,2,3
0.25,0.25,2,8
0.75,0.6666666,2,3
0.6,0.6,2,5
0.02439022,0.032520354,3,5
0.02439022,0.02439022,3,5
0.02439022,0.02439022,3,6
0.5,0.5,3,2
0.5,0.5,3,2
0.5,0.5,3,2
0.5,0.5,3,2
0.5,0.5,3,2
0.5,0.5,3,2
0.5,0.5,3,2
0.5,0.5,3,2
0.5,0.5,3,2
0.5,0.5,3,2
0.5,0.5,3,2
0.5,0.5,3,2
0.02439022,0.02439022,3,5
0.02439022,0.02439022,3,5
1.0,1.0,3,4
0.5,0.5,3,2
0.008130074,0.008130074,3,3
0.8,0.6,3,5
0.5,0.5,3,2
0.57142854,0.4285714,3,7
0.5,0.5,3,2
0.5,0.5,3,4
0.016260147,0.02439022,4,4
0.016260147,0.02439022,4,4
0.6,0.6,4,5
1.0,1.0,4,1
1.0,1.0,4,1
1.0,1.0,4,1
1.0,1.0,4,1
1.0,1.0,4,1
1.0,1.0,4,1
1.0,1.0,4,1
1.0,1.0,4,1
1.0,1.0,4,1
1.0,1.0,4,1
1.0,1.0,4,1
1.0,1.0,4,1
0.016260147,0.02439022,4,4
0.016260147,0.02439022,4,4
0.100000024,0.100000024,4,3
1.0,1.0,4,1
0.5,0.5,4,2
0.016260147,0.02439022,4,4
1.0,1.0,4,1
0.3333333,0.3333333,4,6
1.0,1.0,4,1
0.008130074,0.008130074,4,3
