dam_lev_similarity,dam_lev_res_similarity,pref_len,suf_len
0.13114756,0.14754099,4,12
0.16393441,0.18032789,4,17
0.13114756,0.13114756,4,9
0.13114756,0.3076923,4,13
0.11475408,0.13114756,4,9
0.18032789,0.19672132,4,14
0.16393441,0.18032789,4,13
0.27868855,0.29508197,4,21
0.081967235,0.09836066,4,10
0.14754099,0.4166667,4,12
0.09836066,0.44444442,4,9
0.14754099,0.16393441,4,14
0.16393441,0.18032789,4,14
0.16393441,0.16393441,4,11
0.16393441,0.4166667,4,12
0.09836066,0.23076922,4,13
0.11475408,0.13114756,4,9
0.13114756,0.45454544,4,11
0.11475408,0.13114756,4,12
0.11475408,0.13114756,4,10
0.11475408,0.11475408,4,8
0.09836066,0.11475408,4,10
0.09836066,0.11475408,4,10
0.32786888,0.3442623,4,22
0.13114756,0.13114756,4,9
0.13114756,0.14754099,4,12
0.13114756,0.13114756,4,10
0.13114756,0.16393441,4,12
0.13114756,0.14754099,4,13
0.3770492,0.45901638,4,32
0.13114756,0.5,4,10
0.14754099,0.18032789,4,12
0.19672132,0.21311474,4,17
0.13114756,0.14754099,4,10
0.13114756,0.13114756,4,9
0.19672132,0.19672132,4,14
0.13114756,0.14754099,4,13
0.14754099,0.27272725,4,11
0.081967235,0.09836066,4,10
0.14754099,0.14999998,4,20
0.081967235,0.25,4,8
0.14754099,0.14754099,4,11
0.29508197,0.29508197,4,20
0.081967235,0.081967235,4,12
0.09836066,0.11475408,4,9
0.11475408,0.375,4,8
0.13114756,0.14754099,4,11
0.18032789,0.18032789,4,12
0.16393441,0.16393441,4,14
0.11475408,0.13114756,4,11
0.19672132,0.22950822,4,17
0.16393441,0.4166667,4,12
0.14754099,0.14754099,4,10
0.39344263,0.39344263,4,26
0.56,0.2881356,4,19
0.11475408,0.11475408,4,9
0.13114756,0.14754099,4,10
0.14754099,0.18032789,4,16
0.14754099,0.16393441,4,12
0.14754099,0.16393441,4,15
0.11475408,0.39999998,4,10
0.14754099,0.14754099,4,11
0.13114756,0.13114756,4,10
0.13114756,0.5555556,4,9
0.11475408,0.13114756,5,11
0.18032789,0.1875,5,16
0.11475408,0.5,5,8
0.09836066,0.25,5,12
0.06557375,0.375,5,8
0.16393441,0.18032789,5,13
0.11475408,0.25,5,12
0.3114754,0.3114754,5,20
0.13114756,0.13114756,5,9
0.13114756,0.13114756,5,11
0.081967235,0.25,5,8
0.16393441,0.16393441,5,13
0.14754099,0.16393441,5,13
0.11475408,0.3,5,10
0.11475408,0.11475408,5,11
0.11475408,0.13114756,5,12
0.06557375,0.375,5,8
0.11475408,0.39999998,5,10
0.13114756,0.13114756,5,11
0.09836066,0.22222221,5,9
0.09836066,0.28571427,5,7
0.081967235,0.09836066,5,9
0.09836066,0.09836066,5,9
0.3114754,0.19047618,5,21
0.081967235,0.375,5,8
0.11475408,0.13114756,5,11
0.11475408,0.44444442,5,9
0.11475408,0.14754099,5,11
0.14754099,0.25,5,12
0.39344263,0.45901638,5,31
0.09836066,0.09836066,5,9
0.09836066,0.27272725,5,11
0.21311474,0.22950822,5,16
0.081967235,0.3333333,5,9
0.11475408,0.5,5,8
0.14754099,0.23076922,5,13
0.14754099,0.25,5,12
0.11475408,0.3,5,10
0.13114756,0.13114756,5,9
0.16393441,0.22950822,5,19
0.06557375,0.0,5,7
0.11475408,0.39999998,5,10
0.24590164,0.15789473,5,19
0.14754099,0.36363637,5,11
0.081967235,0.09836066,5,8
0.09836066,0.09836066,5,7
0.11475408,0.19999999,5,10
0.16393441,0.36363637,5,11
0.16393441,0.16393441,5,13
0.14754099,0.14754099,5,10
0.18032789,0.25,5,16
0.11475408,0.11475408,5,11
0.11475408,0.44444442,5,9
0.3770492,0.16000003,5,25
0.26229507,0.26229507,5,18
0.11475408,0.11475408,5,8
0.06557375,0.3333333,5,9
0.18032789,0.21311474,5,15
0.13114756,0.18181819,5,11
0.19672132,0.19672132,5,14
0.09836066,0.09836066,5,9
0.11475408,0.39999998,5,10
0.09836066,0.22222221,5,9
0.081967235,0.081967235,5,8
0.13114756,0.13114756,6,10
0.19672132,0.19999999,6,15
0.09836066,0.4285714,6,7
0.11475408,0.27272725,6,11
0.09836066,0.4285714,6,7
0.18032789,0.18032789,6,12
0.14754099,0.27272725,6,11
0.29508197,0.29508197,6,19
0.11475408,0.11475408,6,8
0.11475408,0.3,6,10
0.11475408,0.14285713,6,7
0.14754099,0.14754099,6,12
0.13114756,0.16666669,6,12
0.13114756,0.3333333,6,9
0.13114756,0.3,6,10
0.13114756,0.27272725,6,11
0.09836066,0.4285714,6,7
0.09836066,0.3333333,6,9
0.11475408,0.13114756,6,10
0.09836066,0.125,6,8
0.081967235,0.16666669,6,6
0.09836066,0.09836066,6,8
0.09836066,0.09836066,6,8
0.29508197,0.14999998,6,20
0.09836066,0.4285714,6,7
0.13114756,0.13114756,6,10
0.09836066,0.375,6,8
0.11475408,0.14754099,6,10
0.16393441,0.27272725,6,11
0.3770492,0.44262296,6,30
0.09836066,0.375,6,8
0.13114756,0.3,6,10
0.19672132,0.19672132,6,15
0.09836066,0.375,6,8
0.09836066,0.4285714,6,7
0.16393441,0.25,6,12
0.16393441,0.27272725,6,11
0.13114756,0.3333333,6,9
0.11475408,0.11475408,6,8
0.18032789,0.16666669,6,18
0.06557375,0.0,6,6
0.09836066,0.3333333,6,9
0.26229507,0.16666669,6,18
0.13114756,0.3,6,10
0.081967235,0.09836066,6,7
0.081967235,0.16666669,6,6
0.11475408,0.111111104,6,9
0.14754099,0.3,6,10
0.16393441,0.0,6,12
0.11475408,0.11475408,6,9
0.16393441,0.19999999,6,15
0.13114756,0.3,6,10
0.09836066,0.375,6,8
0.36065573,0.125,6,24
0.21311474,0.26229507,6,17
0.081967235,0.081967235,6,7
0.09836066,0.375,6,8
0.16393441,0.18032789,6,14
0.13114756,0.100000024,6,10
0.16393441,0.15384614,6,13
0.081967235,0.081967235,6,8
0.09836066,0.3333333,6,9
0.081967235,0.125,6,8
0.09836066,0.4285714,6,7
0.11475408,0.11475408,7,9
0.18032789,0.14285713,7,14
0.081967235,0.3333333,7,6
0.081967235,0.100000024,7,10
0.081967235,0.3333333,7,6
0.16393441,0.16393441,7,11
0.13114756,0.19999999,7,10
0.27868855,0.055555582,7,18
0.081967235,0.14285713,7,7
0.081967235,0.111111104,7,9
0.09836066,0.3333333,7,6
0.13114756,0.090909064,7,11
0.13114756,0.18181819,7,11
0.11475408,0.25,7,8
0.11475408,0.22222221,7,9
0.11475408,0.19999999,7,10
0.081967235,0.3333333,7,6
0.081967235,0.25,7,8
0.11475408,0.11475408,7,9
0.081967235,0.14285713,7,7
0.06557375,0.19999999,7,5
0.081967235,0.081967235,7,7
0.081967235,0.081967235,7,7
0.27868855,0.10526317,7,19
0.081967235,0.3333333,7,6
0.11475408,0.11475408,7,9
0.081967235,0.28571427,7,7
0.11475408,0.13114756,7,9
0.14754099,0.19999999,7,10
0.36065573,0.034482777,7,29
0.081967235,0.28571427,7,7
0.11475408,0.22222221,7,9
0.19672132,0.0714286,7,14
0.06557375,0.14285713,7,7
0.081967235,0.3333333,7,6
0.14754099,0.18181819,7,11
0.14754099,0.19999999,7,10
0.11475408,0.25,7,8
0.081967235,0.14285713,7,7
0.16393441,0.11764705,7,17
0.04918033,0.04918033,7,5
0.081967235,0.25,7,8
0.24590164,0.11764705,7,17
0.11475408,0.22222221,7,9
0.081967235,0.081967235,7,6
0.06557375,0.19999999,7,5
0.09836066,0.125,7,8
0.13114756,0.22222221,7,9
0.18181819,0.16393441,7,11
0.11475408,0.125,7,8
0.14754099,0.14285713,7,14
0.11475408,0.22222221,7,9
0.081967235,0.28571427,7,7
0.3442623,0.0869565,7,23
0.18032789,0.22950822,7,16
0.081967235,0.16666669,7,6
0.081967235,0.28571427,7,7
0.14754099,0.07692307,7,13
0.11475408,0.111111104,7,9
0.14754099,0.08333331,7,12
0.09836066,0.28571427,7,7
0.081967235,0.25,7,8
0.06557375,0.14285713,7,7
0.081967235,0.3333333,7,6
0.09836066,0.09836066,8,8
0.16393441,0.07692307,8,13
0.06557375,0.19999999,8,5
0.09836066,0.09836066,8,9
0.06557375,0.19999999,8,5
0.14754099,0.14754099,8,10
0.11475408,0.111111104,8,9
0.26229507,0.058823526,8,17
0.06557375,0.16666669,8,6
0.09836066,0.09836066,8,8
0.081967235,0.19999999,8,5
0.11475408,0.100000024,8,10
0.13114756,0.19999999,8,10
0.09836066,0.14285713,8,7
0.09836066,0.125,8,8
0.09836066,0.111111104,8,9
0.06557375,0.19999999,8,5
0.06557375,0.14285713,8,7
0.09836066,0.09836066,8,8
0.06557375,0.06557375,8,6
0.04918033,0.04918033,8,4
0.06557375,0.06557375,8,6
0.081967235,0.081967235,8,6
0.26229507,0.055555582,8,18
0.06557375,0.19999999,8,5
0.09836066,0.09836066,8,8
0.06557375,0.16666669,8,6
0.09836066,0.11475408,8,8
0.13114756,0.111111104,8,9
0.3442623,0.03571427,8,28
0.06557375,0.16666669,8,6
0.09836066,0.125,8,8
0.18032789,0.07692307,8,13
0.081967235,0.081967235,8,6
0.06557375,0.19999999,8,5
0.13114756,0.100000024,8,10
0.13114756,0.111111104,8,9
0.09836066,0.14285713,8,7
0.06557375,0.16666669,8,6
0.14754099,0.0625,8,16
0.04918033,0.04918033,8,4
0.06557375,0.14285713,8,7
0.22950822,0.0625,8,16
0.09836066,0.125,8,8
0.06557375,0.06557375,8,5
0.04918033,0.04918033,8,4
0.081967235,0.081967235,8,7
0.11475408,0.125,8,8
0.13114756,0.13114756,8,10
0.09836066,0.14285713,8,7
0.13114756,0.07692307,8,13
0.09836066,0.125,8,8
0.06557375,0.16666669,8,6
0.32786888,0.04545456,8,22
0.21311474,0.21311474,8,15
0.06557375,0.19999999,8,5
0.06557375,0.16666669,8,6
0.13114756,0.08333331,8,12
0.09836066,0.09836066,8,8
0.13114756,0.090909064,8,11
0.081967235,0.16666669,8,6
0.06557375,0.14285713,8,7
0.06557375,0.06557375,8,6
0.06557375,0.19999999,8,5
