,,,baseline,,beamsearch (beam_size=3),,,,beamsearch (beam_size=5),,,
,,,,,with probability reduction,,without probability reduction,,with probability reduction,,without probability reduction,
Dataset,Model,Encoding,Activities,Resources,Activities,Resources,Activities,Resources,Activities,Resources,Activities,Resources
sepsis_cases_1,keras_trans,One_hot,0.2369122134202399,0.20991944743888918,0.37151497222927476,0.42500388694366203,0.28989744871526035,0.27107873724102627,0.36893683821884177,0.41913986720277036,0.3144467651376106,0.29799394240958316
sepsis_cases_1,keras_trans,Simple_categorical,0.3809818426905925,0.37270583025852605,0.3239206864600678,0.4151707866797357,0.40908705972702647,0.400059154302021,0.3207874666607076,0.4065724230282383,0.4011050877293962,0.39045048909505
sepsis_cases_1,keras_trans,Combined_Act_res,0.20169954179645005,0.21242026410028703,0.418172939657271,0.40403082749746566,0.2679904477663389,0.27005907598975143,0.4371960727087631,0.4257631108256955,0.32016795553397365,0.32091033726797613
sepsis_cases_1,LSTM,One_hot,0.43628510389381375,0.4253170604039028,0.32463456287573195,0.4138755317889493,0.4179303029224185,0.4301843655543494,0.32369114455388315,0.4067578949814978,0.40988562961709935,0.42337898287445236
sepsis_cases_1,LSTM,Simple_categorical,0.021546029851583628,0.045674709218478146,0.04083501432402797,0.04661614533537562,0.021595360054295163,0.04620231233744111,0.04074260142367341,0.04639747156613088,0.025506941060569013,0.04620231233744111
sepsis_cases_1,LSTM,Combined_Act_res,0.027220059042331657,0.04574163345750147,0.11438621291101117,0.12137799949785252,0.030880553513177842,0.046264301630199636,0.1512881282146973,0.15163657556547583,0.030841140822465946,0.046264301630199636
helpdesk,keras_trans,One_hot,0.9032969488063323,0.7903277799055278,0.8994180603429934,0.7429002297970126,0.9041746457296055,0.7912022852036257,0.8971712627878452,0.7417919904346172,0.9040257032214136,0.7910533426954338
helpdesk,keras_trans,Simple_categorical,0.8923796563876993,0.783267244125153,0.8888516532618409,0.7415049576577726,0.8953029916166646,0.7841631558789736,0.888739946380697,0.7413932507766288,0.8950423422273288,0.7839397421166858
helpdesk,keras_trans,Combined_Act_res,0.8976857171227145,0.7971537795934579,0.8976960012482801,0.7622292437976084,0.9006925826630922,0.8013018284466006,0.8971076783409223,0.762400527682029,0.9004915102770331,0.8012124629416855
helpdesk,LSTM,One_hot,0.9048299927656497,0.7932390740031491,0.9004574662751605,0.7514059108898251,0.9045991318779523,0.7931273671220052,0.9003085237669688,0.7512048385037662,0.9045246606238564,0.7928294821056215
helpdesk,LSTM,Simple_categorical,0.9018022043491213,0.7895807623019419,0.9004861909017404,0.7490024398201341,0.9035895144474234,0.7918893711789154,0.8990053789567997,0.7484873650224464,0.9035895144474234,0.7918893711789154
helpdesk,LSTM,Combined_Act_res,0.9027373505255543,0.7890229371462616,0.899765947487127,0.7580322566917741,0.9030948125452147,0.7895889186773905,0.8995276394740203,0.7579726796884974,0.9030948125452147,0.7895889186773905
BPIC13_CP,keras_trans,One_hot,0.5930996847715314,0.5926755671163946,0.6015133831310302,0.439254590725179,0.5831459544553979,0.5867266246971002,0.5939231248054777,0.43320624546114744,0.5814148107420589,0.5850926377689957
BPIC13_CP,keras_trans,Simple_categorical,0.5594501959613521,0.5598496312492255,0.5715050835148874,0.3762799564270153,0.5621742001643962,0.560234364401031,0.5702225334578276,0.3706401078950099,0.5631043158003942,0.560762267870111
BPIC13_CP,keras_trans,Combined_Act_res,0.5968591140159767,0.5998949579831933,0.5950280112044818,0.38510478265380227,0.5469122834318912,0.553930646332607,0.5957010582010582,0.3754474011826953,0.5469122834318912,0.5531136528685547
BPIC13_CP,LSTM,One_hot,0.5783794999481274,0.5875453885257806,0.5557111733582322,0.386225230833074,0.580576105085909,0.5897599495638711,0.550186741363212,0.38474686170764605,0.580576105085909,0.5897599495638711
BPIC13_CP,LSTM,Simple_categorical,0.03700662751814357,0.08244918858038827,0.09578187121854011,0.07680490164432013,0.04639617513180728,0.08788979782894585,0.0984301992669617,0.08140372877878964,0.057675913473749806,0.08788979782894585
BPIC13_CP,LSTM,Combined_Act_res,0.33259421674637846,0.3537340334407882,0.5564270152505447,0.3854510322647578,0.5554881211743957,0.5488121174395684,0.5589285714285714,0.3920181035377114,0.5550796244423696,0.5488121174395684
10x5_1S,keras_trans,One_hot,0.8315825396825398,0.8069793650793652,0.732538888888889,0.6445880952380952,0.897993253968254,0.8695349206349207,0.7393485466692267,0.6473297949950368,0.885843253968254,0.8412777777777778
10x5_1S,keras_trans,Simple_categorical,0.8188526455026456,0.8240924603174604,0.7172626984126984,0.6325710317460317,0.8647583333333334,0.8584583333333333,0.698295572844952,0.6225494203129662,0.8706333333333334,0.8475757936507937
10x5_1S,keras_trans,Combined_Act_res,0.8319537037037038,0.8127026455026456,0.7361035714285715,0.6764753968253969,0.8520318742024314,0.8336785925105037,0.7272055555555555,0.6660301587301587,0.8637666971916972,0.8413163308913308
10x5_1S,LSTM,One_hot,0.8149990740740742,0.8010132275132277,0.7577765873015874,0.688138888888889,0.9416873015873016,0.925422619047619,0.7619562025517272,0.6913364471068294,0.892148015873016,0.8928333333333334
10x5_1S,LSTM,Simple_categorical,0.8339223544973546,0.8190853174603175,0.6690829365079365,0.5988269841269841,0.9226567460317461,0.8888253968253969,0.6630825039950886,0.5921716998217127,0.9086369047619048,0.8826309523809523
10x5_1S,LSTM,Combined_Act_res,0.7863826719576721,0.7684531746031747,0.6972861111111112,0.6449547619047619,0.877638888888889,0.8630019841269841,0.6833465374469587,0.6331051121558984,0.8646706349206349,0.8634539682539683
50x5_1S,keras_trans,One_hot,0.7071397546897548,0.8154727873977875,0.4895096801346801,0.4524398508898509,0.6910032948532949,0.8121866041366042,0.47847558571969984,0.4243643448935803,0.692180278980279,0.8137458633958634
50x5_1S,keras_trans,Simple_categorical,0.6674272607022607,0.7886065175565177,0.5366268518518518,0.47350051707551705,0.660658633958634,0.7846911135161135,0.5252593022291558,0.43883496183583437,0.6558407647907648,0.7834896103896104
50x5_1S,keras_trans,Combined_Act_res,0.6716502405002406,0.7836786075036076,0.5088917147667148,0.4473198532948533,0.6663497522847522,0.7836526430976432,0.5012571789321789,0.4281839947089947,0.6736994552540252,0.7935106544192566
50x5_1S,LSTM,One_hot,0.704787950937951,0.8087706950456951,0.5428993867243868,0.5196473063973064,0.689559078884079,0.80316151996152,0.5338597254121807,0.48940162810865917,0.6765155483405484,0.7915965969215969
50x5_1S,LSTM,Simple_categorical,0.6361645863395864,0.7475689033189034,0.5018613636363636,0.434741378066378,0.6427061568061568,0.763346067821068,0.5053405349181538,0.40483774359644054,0.6377174843674844,0.751071596921597
50x5_1S,LSTM,Combined_Act_res,0.7198083092833093,0.8363154521404521,0.49193873256373255,0.450281240981241,0.6937974146224146,0.8087488335738336,0.48912882434383975,0.4065969871594603,0.6937671837421838,0.8124222101972103
