Case ID,Prefix length,Trace Prefix Act,Ground truth,Predicted Acts,Damerau-Levenshtein Acts,Jaccard Acts,Trace Prefix Res,Ground Truth Resources,Predicted Resources,Damerau-Levenshtein Resources,Jaccard Resources,Damerau-Levenshtein Combined,Weight
1-712856449,3,¢¡¢,¦,¢¢¢¢¢¢¦¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢,0.033333333333333326,0.5,£££,£,££££££££££££££££££££££££££££££,0.033333333333333326,1.0,0.033333333333333326,0.0
1-715638561,3,¢¡¢,¦,¢¢¢¢¢¢¦¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢,0.033333333333333326,0.5,£££,£,££££££££££££££££££££££££££££££,0.033333333333333326,1.0,0.033333333333333326,0.0
1-715660478,3,¢¦¢,¦,¢¢¢¢¢¢¦¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢,0.033333333333333326,0.5,£££,£,££££££££££££££££££££££££££££££,0.033333333333333326,1.0,0.033333333333333326,0.0
1-715860062,3,¢¡¢,¦,¢¢¢¢¢¢¦¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢,0.033333333333333326,0.5,¡¡¡,¡,££££££££££££££££££££££££££££££,0.0,0.0,0.01666666666666672,0.0
1-716571976,3,¢¦¢,¡¢¦,¢¢¢¢¢¢¦¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢,0.06666666666666665,0.6666666666666666,£££,£££,££££££££££££££££££££££££££££££,0.09999999999999998,1.0,0.08333333333333337,0.0
1-717122893,3,¢¡¢,¥¦,¢¢¢¢¢¢¦¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢,0.033333333333333326,0.33333333333333326,¡¡¡,¡¡,££££££££££££££££££££££££££££££,0.0,0.0,0.01666666666666672,0.0
1-717222893,3,¢¡¢,¦,¢¢¢¢¢¢¦¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢,0.033333333333333326,0.5,£££,£,££££££££££££££££££££££££££££££,0.033333333333333326,1.0,0.033333333333333326,0.0
1-717275094,3,¢¡¢,¦,¢¢¢¢¢¢¦¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢,0.033333333333333326,0.5,£££,£,££££££££££££££££££££££££££££££,0.033333333333333326,1.0,0.033333333333333326,0.0
1-718973785,3,¢¡¢,¥¦,¢¢¢¢¢¢¦¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢,0.033333333333333326,0.33333333333333326,£££,££,££££££££££££££££££££££££££££££,0.06666666666666665,1.0,0.050000000000000044,0.0
1-719199254,3,¢¢¦,¢¦¢¦¢¦,¢¦¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢,0.1333333333333333,1.0,§§§,§§§§§§,££££££££££££££££££££££££££££££,0.0,0.0,0.06666666666666665,0.0
