Case ID,Prefix length,Trace Prefix Act,Ground truth,Predicted Acts,Damerau-Levenshtein Acts,Jaccard Acts,Trace Prefix Res,Ground Truth Resources,Predicted Resources,Damerau-Levenshtein Resources,Jaccard Resources,Damerau-Levenshtein Combined,Weight
Case No. 1798,3,¡©®,±·ÂÊËÅÅÅ,±·ÂÅÅÅÅ,0.75,0.6666666666666666,£¢¡,¡¡¡¤¡¡¡¡,¡¡¡¡¡¡¡,0.875,0.5,0.8125,0.0
Case No. 1799,3,¡©±,¾®ÅÄ·ÂÄÄ,¾®ÅÄ·ÂÄ,0.875,1.0,¢¡¡,£¡¡¡¡¡¡¡,£¡¡¡¡¡¡,0.875,1.0,0.875,0.0
Case No. 1800,3,¡©®,±·ÂÊËÅÅÅ,±·ÂÅÅÅÅ,0.75,0.6666666666666666,¡£¡,¡¡¡¥¢¡¡¡,¡¡¡¡¡¡¡,0.75,0.33333333333333326,0.75,0.0
Case No. 1801,3,£¨«,­²¼ÊÊÊÊÊÊÊÊ,­²¼ÊÊÊÊÊÊÊ,0.9090909090909091,1.0,¡¥¡,¡¡¡¡¡¡¡¡¡¡¡,¡¡¡¡¡¡¡¡¡¡,0.9090909090909091,1.0,0.9090909090909091,0.0
Case No. 1802,3,£¨«,­²¼ÊËÊÊÊ,­²¼ÊÊÊÊÊÊÊ,0.7,0.8,£¥¡,¡¡¡¤¡¡¡¡,¡¡¡¡¡¡¡¡¡¡,0.7,0.5,0.7,0.0
Case No. 1803,3,¤§¬,¯´¿ÎÎÎÎÎÎÎ,¯´¿ÎÎÎÎÎÎÎ,1.0,1.0,¥¥¡,¡¡¡¡¡¡¡¡¡¡,¡¡¡¡¡¡¡¡¡¡,1.0,1.0,1.0,0.0
Case No. 1804,3,¤§¬,¯´¿ÊËÊÊÊ,¯´¿ÎÎÎÎÎÎÎ,0.30000000000000004,0.5,¢¥¡,¡¡¡¤¡¡¡¡,¡¡¡¡¡¡¡¡¡¡,0.7,0.5,0.5,0.0
Case No. 1805,3,¥¦°,³¶¹ÌÌÌÌÌÌ,³¶¹ÌÌÌÌÌÌ,1.0,1.0,¤¤¡,¡¡¡¡¡¡¡¡¡,¡¡¡¡¡¡¡¡¡,1.0,1.0,1.0,0.0
Case No. 1806,3,£¨«,­²¼ÊËÊÊÊ,­²¼ÊÊÊÊÊÊÊ,0.7,0.8,¤¤¡,¡¡¡¥¢¡¡¡,¡¡¡¡¡¡¡¡¡¡,0.6,0.33333333333333326,0.65,0.0
Case No. 1807,3,¢ª¸,µÀÁÍÍÍÍÍ,µÀÁÍÍÍÍ,0.875,1.0,¥¢¡,¡¡¡¡¡¡¡¡,¡¡¡¡¡¡¡,0.875,1.0,0.875,0.0
Case No. 1808,3,¥¦°,³¶¹ÊËÊÊÊ,³¶¹ÌÌÌÌÌÌ,0.33333333333333337,0.5,¢¥¡,¡¡¡¤¡¡¡¡,¡¡¡¡¡¡¡¡¡,0.7777777777777778,0.5,0.5555555555555556,0.0
Case No. 1809,3,£¨­,»«ÊÄ²¼ËË,»«ÊÄ²¼Ë,0.875,1.0,¢¡¡,£¡¡¡¡¡¡¡,£¡¡¡¡¡¡,0.875,1.0,0.875,0.0
Case No. 1810,3,¤§¬,¯´¿ÊËÊÊÊ,¯´¿ÎÎÎÎÎÎÎ,0.30000000000000004,0.5,¤¤¡,¡¡¡¥¢¡¡¡,¡¡¡¡¡¡¡¡¡¡,0.6,0.33333333333333326,0.44999999999999996,0.0
Case No. 1811,3,¡©®,±·ÂÅÅÅÅÅ,±·ÂÅÅÅÅ,0.875,1.0,¢¤¡,¡¡¡¡¡¡¡¡,¡¡¡¡¡¡¡,0.875,1.0,0.875,0.0
Case No. 1812,3,¢ª¸,µÀÁÊËÊÊÊ,µÀÁÍÍÍÍ,0.375,0.5,£¥¡,¡¡¡¤¡¡¡¡,¡¡¡¡¡¡¡,0.875,0.5,0.625,0.0
Case No. 1813,3,£¨«,­²¼ÊÊÊÊÊÊÊÊ,­²¼ÊÊÊÊÊÊÊ,0.9090909090909091,1.0,¤¥¡,¡¡¡¡¡¡¡¡¡¡¡,¡¡¡¡¡¡¡¡¡¡,0.9090909090909091,1.0,0.9090909090909091,0.0
Case No. 1814,3,¡©®,±·ÂÊËÅÅÅ,±·ÂÅÅÅÅ,0.75,0.6666666666666666,¢¢¡,¡¡¡¤¡¡¡¡,¡¡¡¡¡¡¡,0.875,0.5,0.8125,0.0
Case No. 1815,3,¤§¬,¯´¿ÎÎÎÎÎÎÎ,¯´¿ÎÎÎÎÎÎ,0.9,1.0,£¤¡,¡¡¡¡¡¡¡¡¡¡,¡¡¡¡¡¡¡¡¡,0.9,1.0,0.9,0.0
Case No. 1816,3,¥¦°,³¶¹ÊËÊÊÊ,³¶¹ÌÌÌÌÌÌ,0.33333333333333337,0.5,¢¤¡,¡¡¡¥¢¡¡¡,¡¡¡¡¡¡¡¡¡,0.6666666666666667,0.33333333333333326,0.5,0.0
Case No. 1817,3,¥¦°,³¶¹ÌÌÌÌÌÌ,³¶¹ÌÌÌÌÌÌ,1.0,1.0,¡¤¡,¡¡¡¡¡¡¡¡¡,¡¡¡¡¡¡¡¡¡,1.0,1.0,1.0,0.0
Case No. 1818,3,£¨«,­²¼ÊËÊÊÊ,­²¼ÊÊÊÊÊÊÊ,0.7,0.8,¢¥¡,¡¡¡¤¡¡¡¡,¡¡¡¡¡¡¡¡¡¡,0.7,0.5,0.7,0.0
Case No. 1819,3,¤§¯,Æ¬ÎÉ´¿ÉÉ,¬´¿ÎÎÎÎÎÎ,0.11111111111111116,0.6666666666666666,¤¡¡,£¡¡¡¡¡¡¡,¡¡¡¡¡¡¡¡¡,0.7777777777777778,0.5,0.4444444444444444,0.0
Case No. 1820,3,¢ª¸,µÀÁÊËÊÊÊ,µÀÁÍÍÍÍ,0.375,0.5,¤£¡,¡¡¡¥¢¡¡¡,¡¡¡¡¡¡¡,0.75,0.33333333333333326,0.5625,0.0
Case No. 1821,3,¢ª¸,µÀÁÍÍÍÍÍ,µÀÁÍÍÍÍ,0.875,1.0,¡¤¡,¡¡¡¡¡¡¡¡,¡¡¡¡¡¡¡,0.875,1.0,0.875,0.0
Case No. 1822,3,¤§¬,¯´¿ÊËÊÊÊ,¯´¿ÎÎÎÎÎÎÎ,0.30000000000000004,0.5,£¥¡,¡¡¡¤¡¡¡¡,¡¡¡¡¡¡¡¡¡¡,0.7,0.5,0.5,0.0
Case No. 1823,3,¡©®,±·ÂÅÅÅÅÅ,±·ÂÅÅÅÅ,0.875,1.0,¢¥¡,¡¡¡¡¡¡¡¡,¡¡¡¡¡¡¡,0.875,1.0,0.875,0.0
Case No. 1824,3,¥¦°,³¶¹ÊËÊÊÊ,³¶¹ÊÊÊÊÊ,0.875,0.8,¥¥¥,¡¡¡¤¡¡¡¡,¡¡¡¡¡¡¡¡,0.875,0.5,0.875,0.0
Case No. 1825,3,£¨«,­²¼ÊÊÊÊÊÊÊÊ,­²¼ÊÊÊÊÊÊÊ,0.9090909090909091,1.0,£¤¡,¡¡¡¡¡¡¡¡¡¡¡,¡¡¡¡¡¡¡¡¡¡,0.9090909090909091,1.0,0.9090909090909091,0.0
Case No. 1826,3,¡©®,±·ÂÊËÅÅÅ,±·ÂÅÅÅÅ,0.75,0.6666666666666666,££¡,¡¡¡¥¢¡¡¡,¡¡¡¡¡¡¡,0.75,0.33333333333333326,0.75,0.0
Case No. 1827,3,¤§¬,¯´¿ÎÎÎÎÎÎÎ,¯´¿ÎÎÎÎÎÎÎ,1.0,1.0,£¥¡,¡¡¡¡¡¡¡¡¡¡,¡¡¡¡¡¡¡¡¡¡,1.0,1.0,1.0,0.0
Case No. 1828,3,¢ª¸,µÀÁÊËÊÊÊ,µÀÁÍÍÍÍ,0.375,0.5,¢¥¡,¡¡¡¤¡¡¡¡,¡¡¡¡¡¡¡,0.875,0.5,0.625,0.0
Case No. 1829,3,¥¦³,º°Ì½¶¹½½,°¶¹ÊÊÊÊÊ,0.0,0.4285714285714286,¤¡¡,£¡¡¡¡¡¡¡,¡¡¡¡¡¡¡¡,0.875,0.5,0.4375,0.0
Case No. 1830,3,£¨«,­²¼ÊËÊÊÊ,­²¼ÊÊÊÊÊÊÊ,0.7,0.8,¡¢¡,¡¡¡¥¢¡¡¡,¡¡¡¡¡¡¡¡¡¡,0.6,0.33333333333333326,0.65,0.0
Case No. 1831,3,¥¦°,³¶¹ÌÌÌÌÌÌ,³¶¹ÌÌÌÌÌÌ,1.0,1.0,¡¥¡,¡¡¡¡¡¡¡¡¡,¡¡¡¡¡¡¡¡¡,1.0,1.0,1.0,0.0
Case No. 1832,3,¡©®,±·ÂÊËÅÅÅ,±·ÂÅÅÅÅ,0.75,0.6666666666666666,¥¥¡,¡¡¡¤¡¡¡¡,¡¡¡¡¡¡¡,0.875,0.5,0.8125,0.0
Case No. 1833,3,¢ª¸,µÀÁÍÍÍÍÍ,µÀÁÍÍÍÍ,0.875,1.0,¡¥¡,¡¡¡¡¡¡¡¡,¡¡¡¡¡¡¡,0.875,1.0,0.875,0.0
Case No. 1834,3,£¨«,­²¼ÊËÊÊÊ,­²¼ÊÊÊÊÊÊÊ,0.7,0.8,¢¥¥,¡¡¡¤¡¡¡¡,¡¡¡¡¡¡¡¡¡¡,0.7,0.5,0.7,0.0
Case No. 1835,3,¡©®,±·ÂÅÅÅÅÅ,±·ÂÅÅÅÅ,0.875,1.0,¥¥¡,¡¡¡¡¡¡¡¡,¡¡¡¡¡¡¡,0.875,1.0,0.875,0.0
Case No. 1836,3,¤§¬,¯´¿ÊËÊÊÊ,¯´¿ÎÎÎÎÎÎ,0.33333333333333337,0.5,¡¢¡,¡¡¡¥¢¡¡¡,¡¡¡¡¡¡¡¡¡,0.6666666666666667,0.33333333333333326,0.5,0.0
