Case ID,Prefix length,Trace Prefix Act,Ground truth,Predicted Acts,Damerau-Levenshtein Acts,Jaccard Acts,Trace Prefix Res,Ground Truth Resources,Predicted Resources,Damerau-Levenshtein Resources,Jaccard Resources,Damerau-Levenshtein Combined,Weight
Case No. 1798,3,¡£¢,¥¤¨§¦©§§,¥¤ª©§¨§§,0.5,0.7142857142857143,£¥¡,¢¡¤¡¡¡¡¡,£¡¢¤¡¡¡¡,0.625,0.75,0.5625,0.0
Case No. 1799,3,¡£¥,§¢¨ª¤©¦¦,§¢¨ª¤©¦¦,1.0,1.0,¤££,¢¡¡¡¡¡¡¡,¢¡¡¡¡¡¡¡,1.0,1.0,1.0,0.0
Case No. 1800,3,¡£¢,¥¤¨§¦©§§,¥¤ª©§¨§§,0.5,0.7142857142857143,£¤¤,¡¡¥¡£¡¡¡,¡¡¢¤¡¡¡¡,0.625,0.19999999999999996,0.5625,0.0
Case No. 1801,3,¡£¢,¥¤ª©§¨§§,¥¤ª©§¨§§,1.0,1.0,££¥,£¡¢¤¡¡¡¡,£¡¢¤¡¡¡¡,1.0,1.0,1.0,0.0
Case No. 1802,3,¡£¢,¥¤¨§¦©§§,¥¤¨§¦©§§,1.0,1.0,¥¥¢,¢¡¤¡¡¡¡¡,¢¡¤¡¡¡¡¡,1.0,1.0,1.0,0.0
Case No. 1803,3,¡£¢,¥¤ª©§¨§§,¥¤ª©§¨§§,1.0,1.0,¤£¤,£¡¢¤¡¡¡¡,¡¡¢¤¡¡¡¡,0.875,0.75,0.9375,0.0
Case No. 1804,3,¡£¢,¥¤¨§¦©§§,¥¤¨§¦©§§,1.0,1.0,¡¡¢,¢¡¤¡¡¡¡¡,¡¡¥¡£¡¡¡,0.625,0.19999999999999996,0.8125,0.0
Case No. 1805,3,¡£¢,¥¤ª©§¨§§,¥¤ª©§¨§§,1.0,1.0,¥£¤,£¡¢¤¡¡¡¡,£¡¢¤¡¡¡¡,1.0,1.0,1.0,0.0
Case No. 1806,3,¡£¢,¥¤¨§¦©§§,¥¤ª©§¨§§,0.5,0.7142857142857143,¡¡¤,¡¡¥¡£¡¡¡,¡¡¢¤¡¡¡¡,0.625,0.19999999999999996,0.5625,0.0
Case No. 1807,3,¡£¢,¥¤ª©§¨§§,¥¤ª©§¨§§,1.0,1.0,¤¤¥,£¡¢¤¡¡¡¡,¡¡¢¤¡¡¡¡,0.875,0.75,0.9375,0.0
Case No. 1808,3,¡£¢,¥¤¨§¦©§§,¥¤¨§¦©§§,1.0,1.0,¢¡¢,¢¡¤¡¡¡¡¡,¡¡¤¡¡¡¡¡,0.875,0.6666666666666666,0.9375,0.0
Case No. 1809,3,¡£¥,§¢¨ª¤¦©¦,§¢¨ª¤©¦¦,0.875,1.0,¥¤£,¢¡¡¡¡¡¡¡,¢¡¡¡¡¡¡¡,1.0,1.0,0.875,0.0
Case No. 1810,3,¡£¢,¥¤¨§¦©§§,¥¤¨§¦©§§,1.0,1.0,¢¡¤,¡¡¥¡£¡¡¡,¡¡¥¡£¡¡¡,1.0,1.0,1.0,0.0
Case No. 1811,3,¡£¢,¥¤ª©§¨§§,¥¤ª©§¨§§,1.0,1.0,¡¤¤,£¡¢¤¡¡¡¡,¡¡¢¤¡¡¡¡,0.875,0.75,0.9375,0.0
Case No. 1812,3,¡£¢,¥¤¨§¦©§§,¥¤¨§¦©§§,1.0,1.0,£¡¢,¢¡¤¡¡¡¡¡,¡¡¤¡¡¡¡¡,0.875,0.6666666666666666,0.9375,0.0
Case No. 1813,3,¡£¢,¥¤ª©§¨§§,¥¤ª©§¨§§,1.0,1.0,¡¥¤,£¡¢¤¡¡¡¡,£¡¢¤¡¡¡¡,1.0,1.0,1.0,0.0
Case No. 1814,3,¡£¢,¥¤¨§¦©§§,¥¤¨§¦©§§,1.0,1.0,¥¡¢,¢¡¤¡¡¡¡¡,¡¡¤¡¡¡¡¡,0.875,0.6666666666666666,0.9375,0.0
Case No. 1815,3,¡£¢,¥¤ª©§¨§§,¥¤ª©§¨§§,1.0,1.0,¡¥¥,£¡¢¤¡¡¡¡,£¡¢¤¡¡¡¡,1.0,1.0,1.0,0.0
Case No. 1816,3,¡£¢,¥¤¨§¦©§§,¥¤ª©§¨§§,0.5,0.7142857142857143,£¡¤,¡¡¥¡£¡¡¡,¡¡¢¤¡¡¡¡,0.625,0.19999999999999996,0.5625,0.0
Case No. 1817,3,¡£¢,¥¤ª©§¨§§,¥¤ª©§¨§§,1.0,1.0,¡¤¥,£¡¢¤¡¡¡¡,¡¡¢¤¡¡¡¡,0.875,0.75,0.9375,0.0
Case No. 1818,3,¡£¢,¥¤¨§¦©§§,¥¤¨§¦©§§,1.0,1.0,¥¢¢,¢¡¤¡¡¡¡¡,¡¡¤¡¡¡¡¡,0.875,0.6666666666666666,0.9375,0.0
Case No. 1819,3,¡£¥,§¢¨ª¤©¦¦,§¢¨ª¤©¦¦,1.0,1.0,¡¤£,¢¡¡¡¡¡¡¡,¢¡¡¡¡¡¡¡,1.0,1.0,1.0,0.0
Case No. 1820,3,¡£¢,¥¤¨§¦©§§,¥¤ª©§¨§§,0.5,0.7142857142857143,¤¡¤,¡¡¥¡£¡¡¡,¡¡¢¤¡¡¡¡,0.625,0.19999999999999996,0.5625,0.0
Case No. 1821,3,¡£¢,¥¤ª©§¨§§,¥¤ª©§¨§§,1.0,1.0,¤¥¥,£¡¢¤¡¡¡¡,£¡¢¤¡¡¡¡,1.0,1.0,1.0,0.0
Case No. 1822,3,¡£¢,¥¤¨§¦©§§,¥¤¨§¦©§§,1.0,1.0,¡¢¢,¢¡¤¡¡¡¡¡,¡¡¤¡¡¡¡¡,0.875,0.6666666666666666,0.9375,0.0
Case No. 1823,3,¡£¢,¥¤ª©§¨§§,¥¤ª©§¨§§,1.0,1.0,£¤¤,£¡¢¤¡¡¡¡,¡¡¢¤¡¡¡¡,0.875,0.75,0.9375,0.0
Case No. 1824,3,¡£¢,¥¤¨§¦©§§,¥¤¨§¦©§§,1.0,1.0,¢¢¢,¢¡¤¡¡¡¡¡,¡¡¤¡¡¡¡¡,0.875,0.6666666666666666,0.9375,0.0
Case No. 1825,3,¡£¢,¥¤ª©§¨§§,¥¤ª©§¨§§,1.0,1.0,£¥¤,£¡¢¤¡¡¡¡,£¡¢¤¡¡¡¡,1.0,1.0,1.0,0.0
