Case Id,Prefix length,Trace Prefix Act,Ground truth,Predicted Acts,Damerau-Levenshtein Acts,Jaccard Acts,Trace Prefix Res,Ground truth Resources,Predicted Resources,Damerau-Levenshtein Resources,Jaccard Resources,Damerau-Levenshtein Combined,Weight
1-712856449,3,¢¡¢,¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¦,0.05882352941176472,0.5,£££,£,£££££££££££££££££,0.05882352941176472,1.0,0.05882352941176472,0.0
1-715638561,3,¢¡¢,¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¦,0.05882352941176472,0.5,£££,£,£££££££££££££££££,0.05882352941176472,1.0,0.05882352941176472,0.0
1-715660478,3,¢¦¢,¦,¦,1.0,1.0,£££,£,£,1.0,1.0,1.0,0.0
1-715860062,3,¢¡¢,¦,¦,1.0,1.0,¡¡¡,¡,¡,1.0,1.0,1.0,0.0
1-716571976,3,¢¦¢,¡¢¦,¦,0.33333333333333337,0.33333333333333326,£££,£££,£,0.33333333333333337,1.0,0.33333333333333337,0.0
1-717122893,3,¢¡¢,¥¦,¦,0.5,0.5,¡¡¡,¡¡,¡,0.5,1.0,0.5,0.0
1-717222893,3,¢¡¢,¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¦,0.05882352941176472,0.5,£££,£,£££££££££££££££££,0.05882352941176472,1.0,0.05882352941176472,0.0
1-717275094,3,¢¡¢,¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¦,0.05882352941176472,0.5,£££,£,£££££££££££££££££,0.05882352941176472,1.0,0.05882352941176472,0.0
1-718973785,3,¢¡¢,¥¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¦,0.05882352941176472,0.33333333333333326,£££,££,£££££££££££££££££,0.11764705882352944,1.0,0.08823529411764708,0.0
1-719199254,3,¢¢¦,¢¦¢¦¢¦,,0.0,0.0,§§§,§§§§§§,,0.0,0.0,0.0,0.0
1-720000146,3,¢¡¢,¦,¦,1.0,1.0,§§§,§,§,1.0,1.0,1.0,0.0
1-720069371,3,¢¥¢,¥¢¥¦,¦,0.25,0.33333333333333326,¡¡¡,¡¡¡¡,¡,0.25,1.0,0.25,0.0
1-722674364,3,¢¡¢,¡¡¢¡£¡£¢¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¦,0.17647058823529416,0.5,£££,£££££¡¡¡¡,£££££££££££££££££,0.2941176470588235,0.5,0.2941176470588235,0.0
1-722688743,3,¢¡¢,¦,¦,1.0,1.0,¡¡¡,¡,¡,1.0,1.0,1.0,0.0
1-726517211,3,¢¢¡,¢¡££¢¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¦,0.17647058823529416,0.5,£££,££££££,£££££££££££££££££,0.3529411764705882,1.0,0.32352941176470584,0.0
1-728470722,3,¢£¡,¡£¡¢£¢¦,¦,0.1428571428571429,0.25,¡¡¡,¡¡¡¡¡¡¡,¡,0.1428571428571429,1.0,0.1428571428571429,0.0
1-728630851,3,¡£¡,¢¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¦,0.11764705882352944,1.0,£££,££,£££££££££££££££££,0.11764705882352944,1.0,0.11764705882352944,0.0
1-728641711,3,¢¡¢,¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¦,0.05882352941176472,0.5,£££,£,£££££££££££££££££,0.05882352941176472,1.0,0.05882352941176472,0.0
1-730084875,3,¢¡¢,¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¦,0.05882352941176472,0.5,£££,£,£££££££££££££££££,0.05882352941176472,1.0,0.05882352941176472,0.0
1-732289301,3,¢¡¢,¢£¢¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¦,0.17647058823529416,0.6666666666666666,£££,££££,£££££££££££££££££,0.23529411764705888,1.0,0.23529411764705888,0.0
1-732357301,3,¢¥¢,¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¦,0.05882352941176472,0.5,£££,£,£££££££££££££££££,0.05882352941176472,1.0,0.05882352941176472,0.0
1-733562890,3,¡¢¡,¢¥¢¦,¡¦,0.25,0.25,©©£,££££,££,0.5,1.0,0.375,0.0
1-733649220,3,¢¡¢,¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¦,0.05882352941176472,0.5,£££,£,£££££££££££££££££,0.05882352941176472,1.0,0.05882352941176472,0.0
1-735185827,3,¢£¢,¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¦,0.05882352941176472,0.5,£££,£,£££££££££££££££££,0.05882352941176472,1.0,0.05882352941176472,0.0
1-735881798,3,¢£¢,¢¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¦,0.11764705882352944,1.0,£££,££,£££££££££££££££££,0.11764705882352944,1.0,0.11764705882352944,0.0
1-736351127,3,¢¡¢,¡¢¡¢¡¢¡¢¢¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¦,0.3529411764705882,0.6666666666666666,£££,££££££££££,£££££££££££££££££,0.5882352941176471,1.0,0.47058823529411764,0.0
1-736351222,3,¢¡¢,¡¢¡¢¡¢¡¢¢¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¦,0.3529411764705882,0.6666666666666666,£££,££££££££££,£££££££££££££££££,0.5882352941176471,1.0,0.47058823529411764,0.0
1-737341073,3,¡¢¡,¢¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¦,0.11764705882352944,1.0,£££,££,£££££££££££££££££,0.11764705882352944,1.0,0.11764705882352944,0.0
1-738626601,3,¡¢¢,¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¦,0.05882352941176472,0.5,£££,£,£££££££££££££££££,0.05882352941176472,1.0,0.05882352941176472,0.0
1-739695919,3,¢¡¡,¢¢¡¡¢¦¢¦,¦,0.125,0.33333333333333326,¡¡£,££££££££,¡,0.0,0.0,0.0625,0.0
1-741495923,3,¢£¢,¦,¦,1.0,1.0,¡¡¡,¡,¡,1.0,1.0,1.0,0.0
1-741987554,3,¢¥¥,¢¥¡¢¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¦,0.17647058823529416,0.5,£££,£££££,£££££££££££££££££,0.2941176470588235,1.0,0.23529411764705888,0.0
1-741995108,3,¢¢¢,¥¢¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¦,0.11764705882352944,0.6666666666666666,£££,£££,£££££££££££££££££,0.17647058823529416,1.0,0.1470588235294118,0.0
1-741995344,3,¢¡¢,¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¦,0.05882352941176472,0.5,£££,£,£££££££££££££££££,0.05882352941176472,1.0,0.05882352941176472,0.0
1-742296921,3,¢¡¢,¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¦,0.05882352941176472,0.5,£££,£,£££££££££££££££££,0.05882352941176472,1.0,0.05882352941176472,0.0
1-742383139,3,¢£¢,¦,¦,1.0,1.0,§§§,§,§,1.0,1.0,1.0,0.0
