Case ID,Prefix length,Trace Prefix Act,Ground truth,Predicted Acts,Damerau-Levenshtein Acts,Jaccard Acts,Trace Prefix Res,Ground Truth Resources,Predicted Resources,Damerau-Levenshtein Resources,Jaccard Resources,Damerau-Levenshtein Combined,Weight
Case No. 1798,3,¡©®,±·ÂÊËÅÅÅ,±·ÂÊËÅÅÅÅ,0.8888888888888888,1.0,£¢¡,¡¡¡¤¡¡¡¡,¡¡¡¤¡¡¡¡¡,0.8888888888888888,1.0,0.8888888888888888,0.0
Case No. 1799,3,¡©±,¾®ÅÄ·ÂÄÄ,¾·ÂÅÅÅÅÅÅ,0.2222222222222222,0.6666666666666666,¢¡¡,£¡¡¡¡¡¡¡,¡¡¡¡¡¡¡¡¡,0.7777777777777778,0.5,0.5,0.0
Case No. 1800,3,¡©®,±·ÂÊËÅÅÅ,±·ÂÊËÅÅÅÅ,0.8888888888888888,1.0,¡£¡,¡¡¡¥¢¡¡¡,¡¡¡¤¡¡¡¡¡,0.6666666666666667,0.25,0.7777777777777778,0.0
Case No. 1801,3,£¨«,­²¼ÊÊÊÊÊÊÊÊ,­²¼ÊÊÊÊÊÊÊÊ,1.0,1.0,¡¥¡,¡¡¡¡¡¡¡¡¡¡¡,¡¡¡¡¡¡¡¡¡¡£,0.9090909090909091,0.5,0.9545454545454546,0.0
Case No. 1802,3,£¨«,­²¼ÊËÊÊÊ,­²¼ÊÊÊÊÊÊÊÊ,0.6363636363636364,0.8,£¥¡,¡¡¡¤¡¡¡¡,¡¡¡¡¡¡¡¡¡¡£,0.6363636363636364,0.33333333333333326,0.6363636363636364,0.0
Case No. 1803,3,¤§¬,¯´¿ÎÎÎÎÎÎÎ,¯´¿ÊÊÊÊÊÊÊÊ,0.2727272727272727,0.6,¥¥¡,¡¡¡¡¡¡¡¡¡¡,¡¡¡¡¡¡¡¡¡¡¡,0.9090909090909091,1.0,0.5909090909090908,0.0
Case No. 1804,3,¤§¬,¯´¿ÊËÊÊÊ,¯´¿ÊÊÊÊÊÊÊÊ,0.6363636363636364,0.8,¢¥¡,¡¡¡¤¡¡¡¡,¡¡¡¡¡¡¡¡¡¡¡,0.6363636363636364,0.5,0.6363636363636364,0.0
Case No. 1805,3,¥¦°,³¶¹ÌÌÌÌÌÌ,³¶¹ÊÊÊÊÊÊÊÊ,0.2727272727272727,0.6,¤¤¡,¡¡¡¡¡¡¡¡¡,¡¡¡¡¡¡¡¡¡¡¡,0.8181818181818181,1.0,0.5454545454545454,0.0
Case No. 1806,3,£¨«,­²¼ÊËÊÊÊ,­²¼ÊÊÊÊÊÊÊÊ,0.6363636363636364,0.8,¤¤¡,¡¡¡¥¢¡¡¡,¡¡¡¡¡¡¡¡¡¡£,0.5454545454545454,0.25,0.5909090909090908,0.0
Case No. 1807,3,¢ª¸,µÀÁÍÍÍÍÍ,µÀÁÊÊÊÊÊÊÊÊ,0.2727272727272727,0.6,¥¢¡,¡¡¡¡¡¡¡¡,¡¡¡¡¡¡¡¡¡¡£,0.7272727272727273,0.5,0.5,0.0
Case No. 1808,3,¥¦°,³¶¹ÊËÊÊÊ,³¶¹ÊÊÊÊÊÊÊÊ,0.6363636363636364,0.8,¢¥¡,¡¡¡¤¡¡¡¡,¡¡¡¡¡¡¡¡¡¡¡,0.6363636363636364,0.5,0.6363636363636364,0.0
Case No. 1809,3,£¨­,»«ÊÄ²¼ËË,»²¼ÊÊÊÊÊÊÊÊ,0.18181818181818177,0.5714285714285714,¢¡¡,£¡¡¡¡¡¡¡,¡¡¡¡¡¡¡¡¡¡£,0.6363636363636364,1.0,0.40909090909090906,0.0
